repo_name,repo_url
packer-plugin-hashicups,https://github.com/hashicorp/packer-plugin-hashicups
packer-plugin-hyperone,https://github.com/hashicorp/packer-plugin-hyperone
packer-plugin-hyperv,https://github.com/hashicorp/packer-plugin-hyperv
packer-plugin-jdcloud,https://github.com/hashicorp/packer-plugin-jdcloud
packer-plugin-lxc,https://github.com/hashicorp/packer-plugin-lxc
packer-plugin-lxd,https://github.com/hashicorp/packer-plugin-lxd
packer-plugin-ncloud,https://github.com/hashicorp/packer-plugin-ncloud
packer-plugin-oneandone,https://github.com/hashicorp/packer-plugin-oneandone
packer-plugin-openstack,https://github.com/hashicorp/packer-plugin-openstack
packer-plugin-oracle,https://github.com/hashicorp/packer-plugin-oracle
packer-plugin-profitbricks,https://github.com/hashicorp/packer-plugin-profitbricks
packer-plugin-proxmox,https://github.com/hashicorp/packer-plugin-proxmox
packer-plugin-qemu,https://github.com/hashicorp/packer-plugin-qemu
packer-plugin-scaffolding,https://github.com/hashicorp/packer-plugin-scaffolding
packer-plugin-sdk,https://github.com/hashicorp/packer-plugin-sdk
packer-plugin-tencentcloud,https://github.com/hashicorp/packer-plugin-tencentcloud
packer-plugin-triton,https://github.com/hashicorp/packer-plugin-triton
packer-plugin-vagrant,https://github.com/hashicorp/packer-plugin-vagrant
packer-plugin-virtualbox,https://github.com/hashicorp/packer-plugin-virtualbox
packer-plugin-vmware,https://github.com/hashicorp/packer-plugin-vmware
packer-plugin-vsphere,https://github.com/hashicorp/packer-plugin-vsphere
packer-plugin-yandex,https://github.com/hashicorp/packer-plugin-yandex
packer-sdk-migrator,https://github.com/hashicorp/packer-sdk-migrator
packet-custom-image-tbw,https://github.com/hashicorp/packet-custom-image-tbw
pandora,https://github.com/hashicorp/pandora
playground,https://github.com/hashicorp/playground
policy-library-aws-networking-terraform,https://github.com/hashicorp/policy-library-aws-networking-terraform
policy-library-azure-compute-terraform,https://github.com/hashicorp/policy-library-azure-compute-terraform
policy-library-azure-databases-terraform,https://github.com/hashicorp/policy-library-azure-databases-terraform
policy-library-azure-networking-terraform,https://github.com/hashicorp/policy-library-azure-networking-terraform
policy-library-azure-storage-terraform,https://github.com/hashicorp/policy-library-azure-storage-terraform
policy-library-CIS-Policy-Set-for-AWS-CloudTrail-Terraform,https://github.com/hashicorp/policy-library-CIS-Policy-Set-for-AWS-CloudTrail-Terraform
policy-library-CIS-Policy-Set-for-AWS-EC2-Terraform,https://github.com/hashicorp/policy-library-CIS-Policy-Set-for-AWS-EC2-Terraform
policy-library-CIS-Policy-Set-for-AWS-EFS-Terraform,https://github.com/hashicorp/policy-library-CIS-Policy-Set-for-AWS-EFS-Terraform
policy-library-CIS-Policy-Set-for-AWS-IAM-Terraform,https://github.com/hashicorp/policy-library-CIS-Policy-Set-for-AWS-IAM-Terraform
policy-library-CIS-Policy-Set-for-AWS-KMS-Terraform,https://github.com/hashicorp/policy-library-CIS-Policy-Set-for-AWS-KMS-Terraform
policy-library-CIS-Policy-Set-for-AWS-RDS-Terraform,https://github.com/hashicorp/policy-library-CIS-Policy-Set-for-AWS-RDS-Terraform
policy-library-CIS-Policy-Set-for-AWS-S3-Terraform,https://github.com/hashicorp/policy-library-CIS-Policy-Set-for-AWS-S3-Terraform
policy-library-CIS-Policy-Set-for-AWS-VPC-Terraform,https://github.com/hashicorp/policy-library-CIS-Policy-Set-for-AWS-VPC-Terraform
policy-library-gcp-compute-terraform,https://github.com/hashicorp/policy-library-gcp-compute-terraform
policy-library-gcp-databases-terraform,https://github.com/hashicorp/policy-library-gcp-databases-terraform
policy-library-gcp-networking-terraform,https://github.com/hashicorp/policy-library-gcp-networking-terraform
policy-library-gcp-storage-terraform,https://github.com/hashicorp/policy-library-gcp-storage-terraform
pr-warning,https://github.com/hashicorp/pr-warning
private-terraform-enterprise,https://github.com/hashicorp/private-terraform-enterprise
protoc-gen-go-binary,https://github.com/hashicorp/protoc-gen-go-binary
ptfe-migration-terraform,https://github.com/hashicorp/ptfe-migration-terraform
puppet-bootstrap,https://github.com/hashicorp/puppet-bootstrap
qcon-debugging-microservices,https://github.com/hashicorp/qcon-debugging-microservices
raft,https://github.com/hashicorp/raft
raft-autopilot,https://github.com/hashicorp/raft-autopilot
raft-boltdb,https://github.com/hashicorp/raft-boltdb
raft-fuzzy,https://github.com/hashicorp/raft-fuzzy
raft-mdb,https://github.com/hashicorp/raft-mdb
raft-snapshot,https://github.com/hashicorp/raft-snapshot
raft-wal,https://github.com/hashicorp/raft-wal
react-components,https://github.com/hashicorp/react-components
realitycheck,https://github.com/hashicorp/realitycheck
remark-plugins,https://github.com/hashicorp/remark-plugins
renovate-configs,https://github.com/hashicorp/renovate-configs
research-docs,https://github.com/hashicorp/research-docs
research-resources,https://github.com/hashicorp/research-resources
rivet-graphql,https://github.com/hashicorp/rivet-graphql
rollouts-plugin-trafficrouter-consul,https://github.com/hashicorp/rollouts-plugin-trafficrouter-consul
ruby-checkpoint,https://github.com/hashicorp/ruby-checkpoint
runc,https://github.com/hashicorp/runc
sa-ssdp-aws,https://github.com/hashicorp/sa-ssdp-aws
sami-tf,https://github.com/hashicorp/sami-tf
scada-client,https://github.com/hashicorp/scada-client
schedbench,https://github.com/hashicorp/schedbench
se-demo-hcp-packer-essentials_assets,https://github.com/hashicorp/se-demo-hcp-packer-essentials_assets
